customer_id,customer_segment,lifetime_value,acquisition_channel,last_login_days_ago,app_usage_frequency,email_open_rate,sms_response_rate,promotion_usage_count,payment_delays,autopay_enabled,referrals_made,referred_by_friend,plan_changes_count,service_additions_count
CUST_000001,Standard,1588.0022179046439,Store,10.093472294764572,Weekly,0.40094969702381233,0.14756533406221936,4,0,True,0,False,2,0
CUST_000002,Basic,3787.4306509012044,Referral,11.389890116479133,Weekly,0.23490721769179507,0.21077247333381482,3,3,True,0,False,3,1
CUST_000003,Standard,2440.703389820026,Store,1.0708488129947262,Weekly,0.1302757765710464,0.38176955964554743,4,0,True,2,False,2,1
CUST_000004,Standard,1714.3063823451223,Store,19.5879793718443,Weekly,0.24800930373621208,0.1872384367425203,2,0,True,1,False,2,0
CUST_000005,Enterprise,220.29302532684056,Referral,11.559623122070484,Daily,0.26333633668952705,0.20300954457842277,7,0,False,1,False,2,0
CUST_000006,Basic,2652.6400796500952,Referral,10.911745539968447,Daily,0.11230248413898458,0.24783645438723523,4,1,True,1,False,3,1
CUST_000007,Standard,1297.355830328993,Referral,18.084553185243834,Weekly,0.37172471362252496,0.17166702693290528,1,2,True,0,True,0,1
CUST_000008,Premium,686.9753155439529,Referral,3.0465943744996133,Daily,0.48931734032980884,0.3951873407449975,1,2,True,0,False,0,0
CUST_000009,Standard,1008.4870190753338,Online,15.243285492704635,Rarely,0.4502781189924046,0.5443105772873879,4,1,True,1,False,0,1
CUST_000010,Basic,84.33006643370062,Partner,43.50830794853206,Weekly,0.07519761673733338,0.32908187787993426,3,2,True,1,False,2,0
CUST_000011,Basic,4907.99323751888,Partner,1.841799447420037,Weekly,0.513460109088964,0.11306179713371245,2,0,True,2,False,1,0
CUST_000012,Basic,1569.8452796323807,Store,0.9062550544816452,Daily,0.4364083850524994,0.22522756972485947,6,0,False,1,False,2,3
CUST_000013,Basic,6574.026721286563,Online,0.8062940024470805,Daily,0.13564185095887552,0.5527946063156958,2,1,True,0,False,2,1
CUST_000014,Standard,13819.662742348435,Online,3.317919735783067,Weekly,0.6101040971225161,0.35057321131251723,5,0,True,0,False,2,1
CUST_000015,Basic,76.00511420330132,Referral,11.579899809912215,Monthly,0.4467727946711205,0.17461616566744811,4,1,False,0,False,2,2
CUST_000016,Standard,549.2583111188396,Online,9.727335931136581,Monthly,0.6749685661245991,0.24386146928942226,1,0,True,0,False,1,1
CUST_000017,Standard,847.8742077956558,Referral,1.5386380249639477,Weekly,0.7689876523211747,0.25927568340420964,5,2,True,0,True,1,1
CUST_000018,Enterprise,1172.0855839130638,Online,5.355952068383216,Rarely,0.3236264995182619,0.22851768962784752,1,0,False,0,False,3,1
CUST_000019,Basic,427.27066418181704,Partner,3.1408330488532967,Daily,0.4254046003126026,0.22338820422972688,2,6,True,0,False,0,1
CUST_000020,Enterprise,3412.6199683592276,Call Center,12.479688974249378,Daily,0.5105027761251834,0.19983625722278717,3,0,False,0,True,1,1
CUST_000021,Basic,4371.510203730635,Call Center,11.413682613524015,Daily,0.33839435878181445,0.2015391662094814,4,1,True,1,False,3,0
CUST_000022,Basic,234.63786328698956,Call Center,11.63016492734115,Monthly,0.31977892756725085,0.29991176023225447,1,1,False,0,False,1,0
CUST_000023,Standard,2355.9124723227083,Online,5.214984281796161,Monthly,0.5448951725072463,0.39824142878495994,3,1,False,0,False,0,1
CUST_000024,Premium,324.8437368746925,Online,11.53234311402628,Daily,0.1399726380865093,0.21831785683028884,4,1,True,2,True,1,0
CUST_000025,Basic,1555.607735893483,Store,9.252959099845379,Monthly,0.40438743002733457,0.4979536788896506,3,0,True,1,False,1,2
CUST_000026,Standard,459.0497380734061,Call Center,5.207558495872439,Monthly,0.10411672759508268,0.23397121514039537,4,1,True,0,True,2,0
CUST_000027,Standard,2930.1448888262034,Call Center,10.372133700996681,Weekly,0.1439655800253288,0.10878063519048825,5,2,False,0,True,2,3
