customer_id,gender,senior_citizen,partner,dependents,billing_phone_service,billing_multiple_lines,billing_internet_service,billing_online_security,billing_online_backup,billing_device_protection,billing_tech_support,billing_streaming_tv,billing_streaming_movies,billing_contract,billing_paperless_billing,billing_payment_method,billing_tenure,billing_monthly_charges,billing_total_charges,billing_churn,usage_monthly_data_gb,usage_monthly_calls,usage_monthly_sms,usage_peak_hour_usage_pct,usage_international_calls,usage_roaming_usage_gb,usage_video_streaming_gb,usage_social_media_gb,usage_gaming_gb,usage_web_browsing_gb,usage_unique_apps_used,usage_avg_session_duration_min,customer_care_support_calls_count,customer_care_support_chat_count,customer_care_support_email_count,customer_care_avg_resolution_time_hours,customer_care_first_call_resolution_rate,customer_care_complaint_count,customer_care_primary_complaint_type,customer_care_customer_satisfaction_score,customer_care_escalation_count,customer_care_avg_response_time_min,crm_customer_segment,crm_lifetime_value,crm_acquisition_channel,crm_last_login_days_ago,crm_app_usage_frequency,crm_email_open_rate,crm_sms_response_rate,crm_promotion_usage_count,crm_payment_delays,crm_autopay_enabled,crm_referrals_made,crm_referred_by_friend,crm_plan_changes_count,crm_service_additions_count,social_has_social_account,social_social_mentions_count,social_social_sentiment,social_online_reviews_count,social_avg_review_rating,social_website_visits_monthly,social_mobile_app_rating,social_forum_posts_count,social_community_member,social_brand_mentions_positive,social_brand_mentions_negative,social_follower_count,social_is_influencer,network_avg_download_speed_mbps,network_avg_upload_speed_mbps,network_network_uptime_pct,network_connection_drops_monthly,network_avg_signal_strength_db,network_coverage_rating,network_primary_network_type,network_data_throttling_events,network_throttling_duration_hours,network_roaming_countries_visited,network_roaming_issues_count,network_peak_hour_slowdown_pct,network_congestion_events_monthly,network_primary_device_type,network_network_support_tickets,network_avg_issue_resolution_hours,network_urban_area,network_tower_distance_km
CUST_000001,Male,0,Yes,No,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Yearly,Yes,Credit card (automatic),5,70.20005714593601,351.41295429030663,1,9.589813820521126,38,120,13.41923357684362,1,0.2452480225758525,14.82767475364257,0.9538557526049876,0.9130029725552378,1.1439211182147735,29,41.29934045192499,1,1,0,4.706911806337647,0.402992005870631,0,Service,4.848708280417037,0,27.90433019784808,Standard,1588.002217904644,Store,10.093472294764572,Weekly,0.4009496970238123,0.1475653340622193,4,0,True,0,False,2,0,True,5,Negative,1,1.463379454703564,7,3.5051529215263604,0,True,0,0,12.848404850922174,False,49.48723673481546,12.424945146905277,86.77234512998773,1,-64.14406405247567,Good,4G LTE,1,2.101962871008591,0,0,27.410639331693044,4,Tablet,2,11.04282684775876,False,5.126154001568149
CUST_000002,Female,0,Yes,No,Yes,Yes,Fiber optic,No,No,No,No,No,Yes,Month-to-month,Yes,Credit card (automatic),37,77.16507259663791,2882.029930861216,0,52.78929126593571,41,107,36.97973030309602,2,0.0405812159388075,13.18128319049869,4.90639621220513,0.1170813588441038,2.9797689366429934,29,7.125023362178751,5,1,0,4.745407967386194,0.4214071087722416,0,,4.743049054572474,0,15.22766609687787,Basic,3787.430650901205,Referral,11.389890116479132,Weekly,0.234907217691795,0.2107724733338148,3,3,True,0,False,3,1,True,1,Positive,0,,6,,2,True,1,0,83.69407928436716,False,77.42267740491617,13.628089744400873,81.16421812887073,1,-76.91924500410515,Fair,4G LTE,0,0.0,1,0,48.54902532636508,9,Smartphone,0,9.356963167549395,True,2.116328525903914
CUST_000003,Female,1,No,Yes,Yes,No,DSL,Yes,Yes,No,No,No,Yes,One year,Yes,Mailed check,13,84.46768569883919,1044.6375937169687,0,8.830706791263397,45,119,4.492755972907918,4,0.6709367899699614,2.7726907818347426,5.451299372462459,1.917947446755197,0.9884123906840402,24,13.846620818118485,0,2,2,25.681424785445547,0.8051521587016985,1,Network,4.253026690234507,1,43.22997243974919,Standard,2440.703389820026,Store,1.0708488129947262,Weekly,0.1302757765710464,0.3817695596455474,4,0,True,2,False,2,1,True,2,Positive,0,,8,,0,False,0,1,1602.6408597335576,False,31.13918710588301,8.524689099226967,94.43249722387236,1,-73.25342362016302,Fair,4G LTE,0,0.0,2,0,37.91787649342863,3,Smartphone,2,53.24627306055508,True,5.714062035565677
CUST_000004,Female,0,Yes,No,Yes,No,Fiber optic,No,Yes,No,No,No,Yes,Two year,Yes,Electronic check,72,91.3121689139489,6555.763099347658,0,36.06790052117909,37,123,19.657265269205737,3,0.5721023994204851,7.092493727828851,0.8208911028114629,0.1895927065179854,5.84664893338458,19,8.422721571543677,1,1,0,6.230504822317675,0.4997726608009586,1,,4.265644732210167,0,13.671796790791312,Standard,1714.3063823451223,Store,19.5879793718443,Weekly,0.248009303736212,0.1872384367425203,2,0,True,1,False,2,0,True,2,Negative,0,,4,3.360629788709661,1,False,0,0,379.9518493632031,False,11.052427246392766,1.4958271990711471,91.0941813826215,4,-72.8919804606841,Fair,4G,3,3.090766428350918,2,0,9.99804389089162,3,Smartphone,0,16.78175415317789,True,2.472875270604562
CUST_000005,Male,0,Yes,No,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Bank transfer (automatic),5,35.80506539619031,94.27804760978276,1,27.016064401367625,42,128,15.670279994945416,1,0.0255041059579127,1.8209476602131252,1.2217309937480476,1.2763226842037454,6.683466285876186,22,13.516476346569156,3,3,0,2.7964102579129126,0.8164839481930619,1,Billing,4.345128029386002,0,18.78503590416146,Enterprise,220.29302532684056,Referral,11.559623122070484,Daily,0.263336336689527,0.2030095445784227,7,0,False,1,False,2,0,True,2,Neutral,1,2.055286834204666,4,,1,False,0,0,106.8018807806568,False,48.74380440529016,8.579304006746007,93.66962296589246,2,-70.29709701594052,Fair,4G,1,21.82403706323785,1,0,14.4542023868907,6,Smartphone,1,12.210751504925335,True,1.973087276982049
CUST_000006,Male,0,No,No,No,No phone service,Fiber optic,No,Yes,No,No,Yes,No,One year,No,Bank transfer (automatic),2,92.76588616548952,149.72983582421014,0,4.689172034982279,46,125,33.68039349046648,2,1.4172370873757352,13.860474518884068,0.6328321675940224,0.0435175639865282,1.2696825996024508,23,30.161173173452056,0,2,0,51.60336426960164,0.6100140633026786,0,,3.399792591962897,0,33.04047563987695,Basic,2652.6400796500952,Referral,10.911745539968448,Daily,0.1123024841389845,0.2478364543872352,4,1,True,1,False,3,1,False,0,No Data,0,,5,3.775410209785615,2,False,0,0,0.0,False,47.65514846357375,5.320568356809318,81.09476976826949,0,-67.10053423292055,Good,4G LTE,3,2.784613619641234,3,0,40.3730291077241,6,Smartphone,3,95.66967704240749,True,1.616280116460094
CUST_000007,Male,0,Yes,No,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Bank transfer (automatic),1,35.708342659932995,80.34007071667759,0,94.08934784884148,37,108,28.23539526983153,2,1.6089425542035292,6.618926865714265,19.568085745569963,0.4032124128055495,1.3312292823520582,30,42.56766040356119,3,1,2,7.652650788925233,0.8653264380656043,0,Billing,3.664225769223106,0,31.643017759014693,Standard,1297.355830328993,Referral,18.084553185243838,Weekly,0.3717247136225249,0.1716670269329052,1,2,True,0,True,0,1,False,0,No Data,0,,7,3.5961575458243846,1,True,0,0,0.0,False,203.34266642359103,23.0975433373884,93.43600663981204,4,-60.00831541811056,Good,4G LTE,0,0.0,1,1,15.53122846063083,7,Smartphone,4,4.7320656184855086,False,8.61065877833542
CUST_000008,Female,1,No,Yes,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,No,One year,No,Bank transfer (automatic),43,103.30274793832314,4371.246673017788,1,45.6668240738479,46,142,5.170769637160364,0,0.2037372847071818,9.91748127400938,6.4014323176831365,0.6507806399131266,0.271830535185974,29,10.743949562290524,2,2,1,5.664399811840736,0.7212697988835064,1,,4.386043297491956,0,25.32153144068725,Premium,686.9753155439529,Referral,3.0465943744996133,Daily,0.4893173403298088,0.3951873407449975,1,2,True,0,False,0,0,True,2,Neutral,0,,6,,1,False,0,0,822.1873717378768,False,18.331324857059816,3.889304013208216,96.43477171042588,2,-82.58875744994542,Poor,4G LTE,1,4.375210652070421,5,0,19.215679485523925,6,Smartphone,1,48.17674160153934,True,6.522406547588932
CUST_000009,Female,0,Yes,No,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,13,53.26586077638907,779.6550985191158,0,87.94326434498412,36,111,40.87713291627616,1,0.0699832399004317,12.673259259438316,1.103383396706651,0.0283624867014567,0.8866958596224193,35,28.74455726106348,4,0,1,4.33739608372997,0.7244008065613654,1,,4.058155149634378,0,25.46337801268042,Standard,1008.4870190753338,Online,15.243285492704636,Rarely,0.4502781189924046,0.5443105772873879,4,1,True,1,False,0,1,False,0,No Data,0,,5,3.753971602357108,1,False,0,0,0.0,False,58.79302938727005,14.781043909537738,93.73610362679467,5,-84.4650549081826,Poor,5G,2,4.546178163552233,2,1,44.87810154105315,8,Mobile Hotspot,2,40.3971512957876,True,6.685719369627187
CUST_000010,Female,0,Yes,Yes,Yes,No,Fiber optic,Yes,No,No,No,No,Yes,Month-to-month,No,Credit card (automatic),1,80.09745121212849,130.54257523148397,1,57.22096049974379,48,123,10.315434420996745,5,0.0607129048453509,6.703796911672311,1.085136029771951,0.1882031648747099,0.2109443656023343,34,10.353195460954485,1,2,2,9.314379924725394,0.35823015145256,0,Network,4.080424936336816,1,17.180543276453758,Basic,84.33006643370062,Partner,43.50830794853206,Weekly,0.0751976167373333,0.3290818778799342,3,2,True,1,False,2,0,False,0,No Data,1,3.185576824294789,5,4.590860855774012,0,False,0,0,0.0,False,82.69213897146082,23.55406654970309,97.0584280620956,6,-74.3502886406555,Fair,4G LTE,0,0.0,2,1,9.785043531911512,5,Tablet,2,9.115017162338374,False,8.346546071632941
